id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;kelompok_pengeluaran;kode_bulan;bulan;inflasi;satuan;tahun;Cluster
77;32;JAWA BARAT;3274;KOTA CIREBON;PERAWATAN PRIBADI DA JASA LAINNYA;1;JANUARI;1.83;PERSEN;2024;2
78;32;JAWA BARAT;3275;KOTA BEKASI;MAKANAN, MINUMAN DAN TEMBAKAU;1;JANUARI;7.66;PERSEN;2024;2
79;32;JAWA BARAT;3275;KOTA BEKASI;PAKAIAN DAN ALAS KAKI;1;JANUARI;2.53;PERSEN;2024;2
80;32;JAWA BARAT;3275;KOTA BEKASI;PERUMAHAN, AIR, LISTRIK DAN BAHAN BAKAR RUMAH TANGGA;1;JANUARI;-0.29;PERSEN;2024;2
81;32;JAWA BARAT;3275;KOTA BEKASI;PERLENGKAPAN, PERALATAN DAN PEMELIHARAAN RUTIN RUMAH TANGGA;1;JANUARI;1.8;PERSEN;2024;2
82;32;JAWA BARAT;3275;KOTA BEKASI;KESEHATAN;1;JANUARI;4.64;PERSEN;2024;2
83;32;JAWA BARAT;3275;KOTA BEKASI;TRANSPORTASI;1;JANUARI;0.69;PERSEN;2024;2
84;32;JAWA BARAT;3275;KOTA BEKASI;INFORMASI, KOMUNIKASI DAN JASA KEUANGAN;1;JANUARI;-0.12;PERSEN;2024;2
85;32;JAWA BARAT;3275;KOTA BEKASI;REKREASI, OLAHRAGA DAN BUDAYA;1;JANUARI;9.02;PERSEN;2024;2
86;32;JAWA BARAT;3275;KOTA BEKASI;PENDIDIKAN;1;JANUARI;2.27;PERSEN;2024;2
87;32;JAWA BARAT;3275;KOTA BEKASI;PENYEDIAAN MAKANAN DAN MINUMAN/ RESTORAN;1;JANUARI;4.9;PERSEN;2024;2
88;32;JAWA BARAT;3275;KOTA BEKASI;PERAWATAN PRIBADI DA JASA LAINNYA;1;JANUARI;4.55;PERSEN;2024;2
89;32;JAWA BARAT;3276;KOTA DEPOK;MAKANAN, MINUMAN DAN TEMBAKAU;1;JANUARI;4.42;PERSEN;2024;2
90;32;JAWA BARAT;3276;KOTA DEPOK;PAKAIAN DAN ALAS KAKI;1;JANUARI;0.87;PERSEN;2024;2
91;32;JAWA BARAT;3276;KOTA DEPOK;PERUMAHAN, AIR, LISTRIK DAN BAHAN BAKAR RUMAH TANGGA;1;JANUARI;1.81;PERSEN;2024;2
92;32;JAWA BARAT;3276;KOTA DEPOK;PERLENGKAPAN, PERALATAN DAN PEMELIHARAAN RUTIN RUMAH TANGGA;1;JANUARI;1.11;PERSEN;2024;2
93;32;JAWA BARAT;3276;KOTA DEPOK;KESEHATAN;1;JANUARI;0.47;PERSEN;2024;2
94;32;JAWA BARAT;3276;KOTA DEPOK;TRANSPORTASI;1;JANUARI;0.5;PERSEN;2024;2
95;32;JAWA BARAT;3276;KOTA DEPOK;INFORMASI, KOMUNIKASI DAN JASA KEUANGAN;1;JANUARI;-0.23;PERSEN;2024;2
96;32;JAWA BARAT;3276;KOTA DEPOK;REKREASI, OLAHRAGA DAN BUDAYA;1;JANUARI;6.87;PERSEN;2024;2
97;32;JAWA BARAT;3276;KOTA DEPOK;PENDIDIKAN;1;JANUARI;2.18;PERSEN;2024;2
98;32;JAWA BARAT;3276;KOTA DEPOK;PENYEDIAAN MAKANAN DAN MINUMAN/ RESTORAN;1;JANUARI;1.62;PERSEN;2024;2
99;32;JAWA BARAT;3276;KOTA DEPOK;PERAWATAN PRIBADI DA JASA LAINNYA;1;JANUARI;4.71;PERSEN;2024;2
100;32;JAWA BARAT;3278;KOTA TASIKMALAYA;MAKANAN, MINUMAN DAN TEMBAKAU;1;JANUARI;5.17;PERSEN;2024;2
101;32;JAWA BARAT;3278;KOTA TASIKMALAYA;PAKAIAN DAN ALAS KAKI;1;JANUARI;1.05;PERSEN;2024;2
102;32;JAWA BARAT;3278;KOTA TASIKMALAYA;PERUMAHAN, AIR, LISTRIK DAN BAHAN BAKAR RUMAH TANGGA;1;JANUARI;1.55;PERSEN;2024;2
103;32;JAWA BARAT;3278;KOTA TASIKMALAYA;PERLENGKAPAN, PERALATAN DAN PEMELIHARAAN RUTIN RUMAH TANGGA;1;JANUARI;0.05;PERSEN;2024;2
104;32;JAWA BARAT;3278;KOTA TASIKMALAYA;KESEHATAN;1;JANUARI;1.0;PERSEN;2024;2
105;32;JAWA BARAT;3278;KOTA TASIKMALAYA;TRANSPORTASI;1;JANUARI;0.62;PERSEN;2024;2
106;32;JAWA BARAT;3278;KOTA TASIKMALAYA;INFORMASI, KOMUNIKASI DAN JASA KEUANGAN;1;JANUARI;-0.93;PERSEN;2024;2
107;32;JAWA BARAT;3278;KOTA TASIKMALAYA;REKREASI, OLAHRAGA DAN BUDAYA;1;JANUARI;2.43;PERSEN;2024;2
108;32;JAWA BARAT;3278;KOTA TASIKMALAYA;PENDIDIKAN;1;JANUARI;2.63;PERSEN;2024;2
109;32;JAWA BARAT;3278;KOTA TASIKMALAYA;PENYEDIAAN MAKANAN DAN MINUMAN/ RESTORAN;1;JANUARI;0.54;PERSEN;2024;2
110;32;JAWA BARAT;3278;KOTA TASIKMALAYA;PERAWATAN PRIBADI DA JASA LAINNYA;1;JANUARI;0.92;PERSEN;2024;2
111;32;JAWA BARAT;3204;KABUPATEN BANDUNG;MAKANAN, MINUMAN DAN TEMBAKAU;2;FEBRUARI;7.01;PERSEN;2024;5
112;32;JAWA BARAT;3204;KABUPATEN BANDUNG;PAKAIAN DAN ALAS KAKI;2;FEBRUARI;-0.58;PERSEN;2024;5
113;32;JAWA BARAT;3204;KABUPATEN BANDUNG;PERUMAHAN, AIR, LISTRIK DAN BAHAN BAKAR RUMAH TANGGA;2;FEBRUARI;0.91;PERSEN;2024;5
114;32;JAWA BARAT;3204;KABUPATEN BANDUNG;PERLENGKAPAN, PERALATAN DAN PEMELIHARAAN RUTIN RUMAH TANGGA;2;FEBRUARI;2.11;PERSEN;2024;5
115;32;JAWA BARAT;3204;KABUPATEN BANDUNG;KESEHATAN;2;FEBRUARI;3.82;PERSEN;2024;5
116;32;JAWA BARAT;3204;KABUPATEN BANDUNG;TRANSPORTASI;2;FEBRUARI;-0.14;PERSEN;2024;5
117;32;JAWA BARAT;3204;KABUPATEN BANDUNG;INFORMASI, KOMUNIKASI DAN JASA KEUANGAN;2;FEBRUARI;-0.95;PERSEN;2024;5
118;32;JAWA BARAT;3204;KABUPATEN BANDUNG;REKREASI, OLAHRAGA DAN BUDAYA;2;FEBRUARI;1.26;PERSEN;2024;5
119;32;JAWA BARAT;3204;KABUPATEN BANDUNG;PENDIDIKAN;2;FEBRUARI;0.4;PERSEN;2024;5
120;32;JAWA BARAT;3204;KABUPATEN BANDUNG;PENYEDIAAN MAKANAN DAN MINUMAN/ RESTORAN;2;FEBRUARI;7.8;PERSEN;2024;5
121;32;JAWA BARAT;3204;KABUPATEN BANDUNG;PERAWATAN PRIBADI DA JASA LAINNYA;2;FEBRUARI;6.39;PERSEN;2024;5
122;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;MAKANAN, MINUMAN DAN TEMBAKAU;2;FEBRUARI;6.57;PERSEN;2024;5
123;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;PAKAIAN DAN ALAS KAKI;2;FEBRUARI;2.67;PERSEN;2024;5
124;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;PERUMAHAN, AIR, LISTRIK DAN BAHAN BAKAR RUMAH TANGGA;2;FEBRUARI;0.57;PERSEN;2024;5
125;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;PERLENGKAPAN, PERALATAN DAN PEMELIHARAAN RUTIN RUMAH TANGGA;2;FEBRUARI;-1.56;PERSEN;2024;5
126;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;KESEHATAN;2;FEBRUARI;0.54;PERSEN;2024;5
127;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;TRANSPORTASI;2;FEBRUARI;0.94;PERSEN;2024;5
128;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;INFORMASI, KOMUNIKASI DAN JASA KEUANGAN;2;FEBRUARI;-0.96;PERSEN;2024;5
129;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;REKREASI, OLAHRAGA DAN BUDAYA;2;FEBRUARI;0.17;PERSEN;2024;5
130;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;PENDIDIKAN;2;FEBRUARI;0.81;PERSEN;2024;5
131;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;PENYEDIAAN MAKANAN DAN MINUMAN/ RESTORAN;2;FEBRUARI;2.92;PERSEN;2024;5
132;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;PERAWATAN PRIBADI DA JASA LAINNYA;2;FEBRUARI;0.61;PERSEN;2024;5
133;32;JAWA BARAT;3213;KABUPATEN SUBANG;MAKANAN, MINUMAN DAN TEMBAKAU;2;FEBRUARI;7.77;PERSEN;2024;5
134;32;JAWA BARAT;3213;KABUPATEN SUBANG;PAKAIAN DAN ALAS KAKI;2;FEBRUARI;0.75;PERSEN;2024;5
135;32;JAWA BARAT;3213;KABUPATEN SUBANG;PERUMAHAN, AIR, LISTRIK DAN BAHAN BAKAR RUMAH TANGGA;2;FEBRUARI;1.43;PERSEN;2024;5
136;32;JAWA BARAT;3213;KABUPATEN SUBANG;PERLENGKAPAN, PERALATAN DAN PEMELIHARAAN RUTIN RUMAH TANGGA;2;FEBRUARI;0.59;PERSEN;2024;5
137;32;JAWA BARAT;3213;KABUPATEN SUBANG;KESEHATAN;2;FEBRUARI;1.21;PERSEN;2024;5
138;32;JAWA BARAT;3213;KABUPATEN SUBANG;TRANSPORTASI;2;FEBRUARI;0.99;PERSEN;2024;5
139;32;JAWA BARAT;3213;KABUPATEN SUBANG;INFORMASI, KOMUNIKASI DAN JASA KEUANGAN;2;FEBRUARI;-0.35;PERSEN;2024;5
140;32;JAWA BARAT;3213;KABUPATEN SUBANG;REKREASI, OLAHRAGA DAN BUDAYA;2;FEBRUARI;6.44;PERSEN;2024;5
141;32;JAWA BARAT;3213;KABUPATEN SUBANG;PENDIDIKAN;2;FEBRUARI;0.82;PERSEN;2024;5
142;32;JAWA BARAT;3213;KABUPATEN SUBANG;PENYEDIAAN MAKANAN DAN MINUMAN/ RESTORAN;2;FEBRUARI;4.99;PERSEN;2024;5
143;32;JAWA BARAT;3213;KABUPATEN SUBANG;PERAWATAN PRIBADI DA JASA LAINNYA;2;FEBRUARI;9.25;PERSEN;2024;5
144;32;JAWA BARAT;3271;KOTA BOGOR;MAKANAN, MINUMAN DAN TEMBAKAU;2;FEBRUARI;6.59;PERSEN;2024;2
145;32;JAWA BARAT;3271;KOTA BOGOR;PAKAIAN DAN ALAS KAKI;2;FEBRUARI;4.21;PERSEN;2024;2
146;32;JAWA BARAT;3271;KOTA BOGOR;PERUMAHAN, AIR, LISTRIK DAN BAHAN BAKAR RUMAH TANGGA;2;FEBRUARI;2.35;PERSEN;2024;2
147;32;JAWA BARAT;3271;KOTA BOGOR;PERLENGKAPAN, PERALATAN DAN PEMELIHARAAN RUTIN RUMAH TANGGA;2;FEBRUARI;0.34;PERSEN;2024;2
148;32;JAWA BARAT;3271;KOTA BOGOR;KESEHATAN;2;FEBRUARI;1.35;PERSEN;2024;2
149;32;JAWA BARAT;3271;KOTA BOGOR;TRANSPORTASI;2;FEBRUARI;1.56;PERSEN;2024;2
150;32;JAWA BARAT;3271;KOTA BOGOR;INFORMASI, KOMUNIKASI DAN JASA KEUANGAN;2;FEBRUARI;0.58;PERSEN;2024;2
151;32;JAWA BARAT;3271;KOTA BOGOR;REKREASI, OLAHRAGA DAN BUDAYA;2;FEBRUARI;0.73;PERSEN;2024;2
152;32;JAWA BARAT;3271;KOTA BOGOR;PENDIDIKAN;2;FEBRUARI;0.84;PERSEN;2024;2
153;32;JAWA BARAT;3271;KOTA BOGOR;PENYEDIAAN MAKANAN DAN MINUMAN/ RESTORAN;2;FEBRUARI;0.73;PERSEN;2024;2
154;32;JAWA BARAT;3271;KOTA BOGOR;PERAWATAN PRIBADI DA JASA LAINNYA;2;FEBRUARI;5.68;PERSEN;2024;2
155;32;JAWA BARAT;3272;KOTA SUKABUMI;MAKANAN, MINUMAN DAN TEMBAKAU;2;FEBRUARI;6.52;PERSEN;2024;2
156;32;JAWA BARAT;3272;KOTA SUKABUMI;PAKAIAN DAN ALAS KAKI;2;FEBRUARI;2.66;PERSEN;2024;2
157;32;JAWA BARAT;3272;KOTA SUKABUMI;PERUMAHAN, AIR, LISTRIK DAN BAHAN BAKAR RUMAH TANGGA;2;FEBRUARI;0.28;PERSEN;2024;2
158;32;JAWA BARAT;3272;KOTA SUKABUMI;PERLENGKAPAN, PERALATAN DAN PEMELIHARAAN RUTIN RUMAH TANGGA;2;FEBRUARI;0.87;PERSEN;2024;2
159;32;JAWA BARAT;3272;KOTA SUKABUMI;KESEHATAN;2;FEBRUARI;4.13;PERSEN;2024;2
160;32;JAWA BARAT;3272;KOTA SUKABUMI;TRANSPORTASI;2;FEBRUARI;0.62;PERSEN;2024;2
161;32;JAWA BARAT;3272;KOTA SUKABUMI;INFORMASI, KOMUNIKASI DAN JASA KEUANGAN;2;FEBRUARI;-0.07;PERSEN;2024;2
162;32;JAWA BARAT;3272;KOTA SUKABUMI;REKREASI, OLAHRAGA DAN BUDAYA;2;FEBRUARI;1.48;PERSEN;2024;2
163;32;JAWA BARAT;3272;KOTA SUKABUMI;PENDIDIKAN;2;FEBRUARI;0.09;PERSEN;2024;2
164;32;JAWA BARAT;3272;KOTA SUKABUMI;PENYEDIAAN MAKANAN DAN MINUMAN/ RESTORAN;2;FEBRUARI;1.0;PERSEN;2024;2
165;32;JAWA BARAT;3272;KOTA SUKABUMI;PERAWATAN PRIBADI DA JASA LAINNYA;2;FEBRUARI;4.25;PERSEN;2024;2
166;32;JAWA BARAT;3273;KOTA BANDUNG;MAKANAN, MINUMAN DAN TEMBAKAU;2;FEBRUARI;6.18;PERSEN;2024;2
167;32;JAWA BARAT;3273;KOTA BANDUNG;PAKAIAN DAN ALAS KAKI;2;FEBRUARI;0.84;PERSEN;2024;2
168;32;JAWA BARAT;3273;KOTA BANDUNG;PERUMAHAN, AIR, LISTRIK DAN BAHAN BAKAR RUMAH TANGGA;2;FEBRUARI;-1.51;PERSEN;2024;2
169;32;JAWA BARAT;3273;KOTA BANDUNG;PERLENGKAPAN, PERALATAN DAN PEMELIHARAAN RUTIN RUMAH TANGGA;2;FEBRUARI;-1.06;PERSEN;2024;2
170;32;JAWA BARAT;3273;KOTA BANDUNG;KESEHATAN;2;FEBRUARI;3.87;PERSEN;2024;2
171;32;JAWA BARAT;3273;KOTA BANDUNG;TRANSPORTASI;2;FEBRUARI;0.6;PERSEN;2024;2
172;32;JAWA BARAT;3273;KOTA BANDUNG;INFORMASI, KOMUNIKASI DAN JASA KEUANGAN;2;FEBRUARI;-0.01;PERSEN;2024;2
173;32;JAWA BARAT;3273;KOTA BANDUNG;REKREASI, OLAHRAGA DAN BUDAYA;2;FEBRUARI;0.27;PERSEN;2024;2
174;32;JAWA BARAT;3273;KOTA BANDUNG;PENDIDIKAN;2;FEBRUARI;0.42;PERSEN;2024;2
175;32;JAWA BARAT;3273;KOTA BANDUNG;PENYEDIAAN MAKANAN DAN MINUMAN/ RESTORAN;2;FEBRUARI;1.68;PERSEN;2024;2
176;32;JAWA BARAT;3273;KOTA BANDUNG;PERAWATAN PRIBADI DA JASA LAINNYA;2;FEBRUARI;3.56;PERSEN;2024;2
177;32;JAWA BARAT;3274;KOTA CIREBON;MAKANAN, MINUMAN DAN TEMBAKAU;2;FEBRUARI;5.59;PERSEN;2024;2
